Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Назаренко;Едита;Ярославівна;Жінка;2006-05-14;Астроном;селище Новодністровськ;площа Привозна, буд. 643 кв. 529, Полонне, 79974;031 278-95-67;heorhiiiaremkiv@example.org
Верхола;Трохим;Іванович;Чоловік;1983-04-02;Кур'єр;село Ямпіль;вулиця Нікітіна, буд. 71 кв. 7, Володимир-Волинський, 27246;294 09 05;eduarddashenko@example.com
Верменич;Богуслава;Тимофіївна;Жінка;1952-07-29;Будник;село Алушта;набережна Юхима Геллера, буд. 62 кв. 26, Долинська, 46172;683-40-41;bkhomenko@example.com
Ґжицький;Гордій;Андрійович;Чоловік;1952-05-02;Фольклорист;місто Тетіїв;шосе Вапняний 2-й, буд. 906, Христинівка, 29797;+380 67 230-62-58;ilienkomariana@example.org
Гоголь;Ліза;Анатоліївна;Жінка;1978-02-25;Акушер;хутір Білопілля;вулиця Уральська, буд. 443, Глиняни, 73266;+380 (79) 269-70-55;roksolanavanchenko@example.org
Лупій;Ірина;Борисівна;Жінка;1971-06-27;Кінокритик;місто Жидачів;проспект Куниці, буд. 40 кв. 203, Покров, 49228;+380 46 645-89-20;ciakovenko@example.com
Данчук;Станіслав;Федорович;Чоловік;1964-04-23;Ріелтор;місто Дружківка;парк Підйомний, буд. 8, Таврійськ, 88502;+380 38 350 99 19;tymofii56@example.com
Ващук;Орхип;Петрович;Чоловік;1988-05-14;Живописець;селище Сновськ;шосе Рівності, буд. 8, Бровари, 75257;+380 69 336-89-38;xsvyrydenko@example.org
Бебешко;Володимир;Федорович;Чоловік;1978-11-22;Етнограф;місто Липовець;площа Одеса-Головна, буд. 373, Могилів-Подільський, 99132;324 93 80;aleksiichukherman@example.net
Калениченко;Дарина;Іванівна;Жінка;1994-08-04;Дерун;село Українка ;узвіз Сабанєєв, буд. 2 кв. 011, Кременець, 58169;731 38 40;iesypenkoalbina@example.com
Ющенко;Анжела;Андріївна;Жінка;1965-12-15;Швачка;селище Красилів;шосе Академіка Векслера, буд. 444, Дніпро , 42309;078 786-15-09;hbazylevych@example.org
Гоголь;Вадим;Іванович;Чоловік;1959-04-02;Головний меркшейдер;місто Апостолове;площа Аеродромний 1-й, буд. 4 кв. 802, Чугуїв, 57046;+380 93 192 37 71;rsvyrydenko@example.net
Ірванець;Трохим;Борисович;Чоловік;1956-07-27;Парфюмер;селище Погребище;сквер Терещенка Володимира, буд. 9, Володимир-Волинський, 45786;023 259-68-11;jstus@example.org
Перепелиця;Богдан;Борисович;Чоловік;1974-10-05;Філолог;селище Нова Каховка;узвіз Амбулаторний 2-й, буд. 3, Новоселиця, 32141;408 74 91;ievabatiuk@example.org
Даньків;Станіслав;Тимофійович;Чоловік;1958-07-06;Нотаріус;селище Білгород-Дністровський;шосе Алмазна, буд. 693 кв. 705, Біляївка, 69996;+380 (88) 845-39-57;odarka83@example.com
Височан;Емілія;Ярославівна;Жінка;2002-03-10;Слідчий;село Павлоград;вулиця Толбухіна, буд. 69 кв. 43, Тальне, 73911;+380 64 309 06 06;vasyl48@example.com
Макаренко;Прохір;Анатолійович;Чоловік;1977-01-04;Геофізик;хутір Токмак;площа Акордна, буд. 21 кв. 833, Тростянець, 99331;507 43 96;oles19@example.net
Гречаник;Златослава;Іванівна;Жінка;1946-06-16;Сценарист;село Арциз;провулок Київське, буд. 77, Українка , 95172;011 537 04 72;orkhyp37@example.net
Затула;Святослава;Сергіївна;Жінка;1951-02-09;Пекар;хутір Прип'ять ;сквер Черепанових 2-й, буд. 5, Добропілля, 90593;865-78-32;omelianbabarychenko@example.net
Оберемко;Володимира;Дмитрівна;Жінка;1963-08-30;Астронавт;село Єнакієве;проспект Літня, буд. 3 кв. 57, Жмеринка, 19464;157 23 03;tsiutsiuraliliia@example.com
Дацюк;Марта;Вікторівна;Жінка;1990-10-24;Дерун;місто Амвросіївка;узвіз Радісний, буд. 5, Жашків, 20182;+380 17 558 85 11;panas18@example.com
Сірченко;Аркадій;Георгійович;Чоловік;1950-06-23;Музикознавець;селище Тячів;проспект 40-річчя оборони Одеси, буд. 979 кв. 355, Трускавець, 50320;+380 09 183-03-67;ada78@example.org
Євтушок;Ярина;Олександрівна;Жінка;1987-03-19;Драматург;хутір Роздільна;набережна Державіна, буд. 375, Новояворівськ, 34539;+380 39 737-25-23;myroslav02@example.net
Івасюк;Дарина;Петрівна;Жінка;1966-02-25;Драматург;місто Запоріжжя;провулок Василя Кандинського, буд. 138, Бучач, 80257;+380 (03) 757-65-79;jandreiko@example.com
Каденюк;Леонтій;Дмитрович;Чоловік;1980-01-02;Хімік;селище Новоукраїнка;площа Перший Кришталевий, буд. 05, Голубівка, 38169;+380 59 079-98-12;iosypdevdiuk@example.net
Карпенко;Павло;Євгенович;Чоловік;1970-02-18;Археолог;село Тисмениця;площа Рівності, буд. 2, Кам'янка (Черкаська область), 02223;+380 28 430-28-58;zhukmartyn@example.com
Єрмоленко;Ада;Юріївна;Жінка;1990-02-22;Локсмайстер;селище Чернігів;шосе Академіка Філатова, буд. 7 кв. 44, Умань, 72805;+380 47 614-70-65;doberemko@example.net
Вітрук;Орхип;Кузьмич;Чоловік;2002-02-20;Зоолог;хутір Інкерман;сквер Керченська, буд. 470, Корець, 92559;+380 (93) 368-45-59;idashkevych@example.com
Шеремета;Аркадій;Олександрович;Чоловік;2000-11-03;Піаніст;селище Семенівка;вулиця Глазунова 2-й, буд. 018, Вугледар, 37228;009 105 54 65;sviatoslav05@example.net
Цісик;Мілена;Володимирівна;Жінка;1957-12-22;Гінеколог;хутір Підгородне;проспект Набережна, буд. 387 кв. 6, Жашків, 23124;+380 01 478-34-99;uiatseniuk@example.net
Тихий;Ігнат;Вікторович;Чоловік;1963-05-31;Круп'є;місто Мелітополь;набережна Манежна, буд. 0 кв. 26, Борщів, 01393;+380 94 417 04 39;uzhuk@example.net
Шахрай;Давид;Сергійович;Чоловік;2005-01-06;Дизайнер;місто Калинівка ;парк Курганська, буд. 1, Попасна, 14121;416-18-30;liliiafareniuk@example.com
Хомик;Одарка;Петрівна;Жінка;1945-09-29;Швачка;місто Татарбунари;набережна Неплія, буд. 73 кв. 133, Євпаторія, 32338;+380 61 262-61-78;panas45@example.com
Шамрай;Руслан;Тимофійович;Чоловік;1968-10-05;Дизайнер;селище Слов'янськ;сквер Наявний 2-й, буд. 37 кв. 11, Хмільник, 67695;+380 24 448-24-60;orkhyplysenko@example.net
Івасюк;Ірина;Тимофіївна;Жінка;1972-09-13;Історик;селище Чигирин;проспект Василя Кандинського 3-й, буд. 232 кв. 086, Волноваха, 57464;+380 26 437-07-40;hennadiishapoval@example.org
Гавриш;Орест;Юрійович;Чоловік;1982-07-25;Соціолог;хутір Щастя ;шосе Ванцетті, буд. 80 кв. 1, Дергачі, 85995;+380 (63) 419-83-23;lbaran@example.org
Малик;Едита;Петрівна;Жінка;1987-12-07;Гицель;селище Галич;парк Прокатна, буд. 94, Каховка, 26693;025 868 71 43;batiukhennadii@example.org
Опанасенко;Віктор;Анатолійович;Чоловік;1999-11-05;Промисловець;село Шумськ;вулиця Гагаріна, буд. 90 кв. 6, Чернігів, 40655;+380 21 175-55-25;btsiupa@example.com
Малик;Давид;Євгенович;Чоловік;1961-05-14;Головний меркшейдер;хутір Новомиргород;проспект Дальня, буд. 6, Довжанськ, 93031;072 346 51 33;vitaliiieromenko@example.net
Гайдабура;Павло;Олександрович;Чоловік;1996-10-26;Локсмайстер;місто Вільногірськ;сквер Каретний, буд. 43, Сулимівка (Слов'янськ), 27129;542-75-71;zartemenko@example.com
Бабій;Геннадій;Петрович;Чоловік;1959-08-25;Промисловець;село Семенівка;парк Палубна, буд. 409, Курахове, 54660;812 66 57;ostapcherinko@example.com
Терещенко;Спас;Аркадійович;Чоловік;1959-10-13;Кінорежисер;місто Кадіївка;шосе Сибірська, буд. 98, Ватутіне, 88479;356-26-21;ievhencharnysh@example.net
Рубець;Йосип;Іванович;Чоловік;1992-04-14;Палеонтолог;місто Ялта;сквер Пересипська 8-ма, буд. 5 кв. 35, Угнів, 11796;040 990 33 61;violettavovk@example.com
Негода;Венедикт;Тимофійович;Чоловік;1939-09-07;Круп'є;село Жидачів;парк Старопортофранківська, буд. 409, Надвірна, 72242;+380 94 041-70-31;khomakabanenko@example.com
Лавренко;Леон;Ярославович;Чоловік;2005-06-26;Живописець;селище Снятин;узвіз Вірського, буд. 99, Іловайськ, 48582;611 70 38;nilchenko@example.com
Редько;Франц;Петрович;Чоловік;2002-12-17;Прокурор;селище Сулимівка (Слов'янськ);сквер 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 9, Перечин, 91098;+380 94 903-81-34;andriiovychpanteleimon@example.net
Батуринець;Лілія;Володимирівна;Жінка;1981-03-07;Фармацевт;село Жовті Води;парк Теплична, буд. 0, Лебедин, 74587;+380 (55) 261-80-28;martynhuzenko@example.net
Литвиненко;Демид;Андрійович;Чоловік;2003-03-24;Зоолог;село Умань;площа Бузкова, буд. 49 кв. 074, Теплодар, 52559;+380 14 635 41 95;kzatula@example.net
Ґереґа;Соломон;Вікторович;Чоловік;1938-10-05;Інженер;хутір Новий Буг;набережна Змієнка Всеволода, буд. 4 кв. 174, Липовець, 89410;062 400-91-19;panasbabiak@example.net
Устенко;Прохір;Аркадійович;Чоловік;1947-03-24;Археолог;місто Мелітополь;вулиця Центральна, буд. 85, Костопіль, 94062;648 33 95;irenahupalo@example.com
Дутка;Аарон;Володимирович;Чоловік;1979-12-08;Ветеринар;селище Гайсин;узвіз Незалежності, буд. 324, Ніжин, 34543;+380 36 565 34 94;lbabiak@example.net
Абрамчук;Панас;Васильович;Чоловік;1961-05-10;Краєзнавець;хутір Кремінна;площа Чорноморський 5-й, буд. 1 кв. 616, Жашків, 27277;+380 21 259-78-27;okhorishko@example.com
Гуцуляк;Едита;Михайлівна;Жінка;2002-03-17;Астронавт;місто Нетішин;набережна Слобідська, буд. 4, Городище , 57867;+380 (86) 111-44-89;iefremzinchenko@example.com
Назаренко;Тетяна;Сергіївна;Жінка;1947-11-05;Провізор;хутір Мелітополь;вулиця Дворянська, буд. 645, Шпола, 70979;+380 (77) 114-55-25;emiliiaorlyk@example.org
Цушко;Ірина;Михайлівна;Жінка;1951-12-03;Програміст;село Чистякове;вулиця Новомосковська дорога, буд. 9, Оріхів, 27705;+380 38 945-38-47;datsiuksviatoslava@example.net
Хорішко;Богданна;Андріївна;Жінка;1997-01-31;Мистецтвознавець;село Ровеньки;площа Амундсена, 2-й, буд. 717, Миколаїв, 63026;004 337-98-99;stefaniakymenko@example.org
Кабаненко;Маруся;Вікторівна;Жінка;1939-11-12;Провізор;селище Мар'їнка;вулиця Мельницька, буд. 636 кв. 4, Феодосія, 32603;036 291-70-74;leonid80@example.org
Якимчук;Панас;Юрійович;Чоловік;1981-04-04;Геофізик;селище Малин;площа Краснова, буд. 2 кв. 20, Городок, 23085;+380 27 553-69-67;hbaklan@example.com
Вернигора;Омелян;Олександрович;Чоловік;1971-07-07;Дантист;хутір Корсунь-Шевченківський;проспект Івахненка Петра, буд. 922 кв. 76, Підгородне, 01469;095 852 49 99;vasylynanazarenko@example.net
Супруненко;Онисим;Борисович;Чоловік;1997-04-09;Продюсер;хутір Олешки;сквер Грецька, буд. 9, Остер , 61626;984 16 20;petro39@example.com
Іващенко;Ярослав;Іванович;Чоловік;1952-01-18;Пілот;селище Іршава;парк Юхима Фесенка, буд. 2 кв. 69, Севастополь, 53137;102 81 03;korzhzynovii@example.net
Макогон;Пармен;Ярославович;Чоловік;1953-06-15;Гірничий інженер;селище Ланівці;вулиця Миколи Огренича, буд. 4, Тернопіль, 58054;082 823 51 50;orestoliinyk@example.net
Забара;Володимир;Федорович;Чоловік;1971-07-23;Піаніст;селище Борщів;площа 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 935 кв. 746, Костянтинівка, 31828;+380 20 543-73-89;sheremetsemen@example.com
Семенченко;Ірена;Вікторівна;Жінка;1948-02-19;Ботанік;місто Вуглегірськ;проспект Виноградна, буд. 8 кв. 5, Вільнянськ, 80996;+380 97 929 07 18;lukian09@example.net
Голик;Микита;Кузьмич;Чоловік;2001-07-15;Підприємець;місто Миронівка;сквер Аеродромна, буд. 8, Снігурівка, 13368;+380 (05) 512-82-31;qvakulenko@example.net
Черінько;Камілла;Тимофіївна;Жінка;1964-10-20;Художник;хутір Сновськ;сквер Болгарська, буд. 944, Радомишль, 64259;+380 (30) 125-91-80;adamatamaniuk@example.net
Андрієнко;Мирон;Олександрович;Чоловік;2003-10-01;Промисловець;хутір Хоростків;вулиця Добровольського, буд. 222, Гуляйполе, 62951;+380 88 317-53-98;liudmylakovpak@example.com
Деряжний;Артем;Анатолійович;Чоловік;1980-12-20;Економіст;місто Запоріжжя;проспект Наявний 1-й, буд. 14, Джанкой, 49710;052 929-04-96;viktoriatsenko@example.net
Кабаненко;Вадим;Анатолійович;Чоловік;1986-11-16;Математик;хутір Житомир;набережна Юннатів, буд. 593 кв. 278, Гайсин, 33313;+380 (80) 763-33-35;arkadiilahoda@example.org
Сіробаба;Альберт;Андрійович;Чоловік;2001-05-17;Євнух;хутір Вознесенівка;шосе Поїзна, буд. 1 кв. 99, Харцизьк, 05002;+380 93 694-43-54;petro91@example.net
Скиба;Стефан;Дмитрович;Чоловік;1994-03-30;Мінералог;хутір Старобільськ;набережна Артилерійська, буд. 34 кв. 21, Буринь, 83107;027 348 61 04;babiakdanylo@example.net
Верменич;Пріска;Олександрівна;Жінка;1944-02-12;Будник;селище Очаків;провулок Академіка Сахарова, буд. 919 кв. 0, Інкерман, 90475;+380 28 017 25 74;dashkevychmaryna@example.org
Мірошниченко;Людмила;Ярославівна;Жінка;1987-06-17;Менеджер;село Новомосковськ;проспект Михайлівська, буд. 860, Костопіль, 25660;051-53-19;irena35@example.org
Худяк;Михайлина;Борисівна;Жінка;1952-08-28;Круп'є;хутір Гайворон;сквер Луцька, буд. 7 кв. 76, Світловодськ, 62170;+380 70 016-17-32;hennadiilemeshko@example.com
Вергун;Антон;Петрович;Чоловік;1974-12-07;Мінералог;місто Брянка;узвіз Льва Симиренка, буд. 84, Новомиргород, 73381;+380 80 707-03-24;vmasliak@example.com
Іванченко;Василина;Федорівна;Жінка;1961-09-26;Електромонтер;селище Буча;вулиця Гетьманський, буд. 66 кв. 0, Соледар, 91775;+380 (27) 909-86-24;avalenko@example.com
Дубенко;Альбіна;Євгенівна;Жінка;1965-09-10;Кур'єр;хутір Берислав;провулок Бісквітний, буд. 1 кв. 117, Євпаторія, 08602;+380 62 379 98 13;ovatamaniuk@example.com
Атаманюк;Оксана;Федорівна;Жінка;1994-12-14;Сценарист;селище Селидове;вулиця Райдужна, буд. 785 кв. 064, Кальміуське, 15330;095 948 01 77;mykhailokhmara@example.org
Журба;Ольга;Анатоліївна;Жінка;1961-07-10;Адвокат;хутір Буча;сквер Вапняна, буд. 939, Хрустальний, 96548;045 925-75-29;roksolana08@example.net
Лавренко;Давид;Тимофійович;Чоловік;1940-12-23;Фотограф;хутір Коростень;узвіз Чорноморський 2-й, буд. 2, Єнакієве, 31574;+380 69 329-41-75;maryna36@example.com
Самойленко;Віталій;Васильович;Чоловік;1973-12-10;Детектив;хутір Гірник ;сквер Неплія, буд. 98, Заставна, 65362;037 064 76 23;rvashchenko-zakharchenko@example.net
Титаренко;Аліна;Дмитрівна;Жінка;1944-03-27;Детектив;село Волноваха;набережна Велика Арнаутська, буд. 11, Бахчисарай, 31958;+380 86 565-02-21;nzhuchenko@example.org
Масляк;Борис;Володимирович;Чоловік;1979-11-27;Патологоанатом;селище Севастополь;проспект Тепличний 2-й, буд. 07, Тростянець, 25635;833 29 84;galaganles@example.org
Верхола;Борис;Анатолійович;Чоловік;2005-03-31;Соціолог;село Василівка ;набережна Східний, буд. 0, Андрушівка, 84156;+380 17 167 31 42;mshvachko@example.org
Вовк;Гордій;Дмитрович;Чоловік;1995-07-29;Астронавт;місто Бібрка;шосе Ольгіївський узвіз, буд. 5 кв. 62, Березне, 50459;877 40 48;bakumenkoievhen@example.com
Ватаманюк;Алла;Дмитрівна;Жінка;1945-01-02;Фотограф;хутір Здолбунів;площа Воронезька, буд. 6, Новоград-Волинський, 87390;016 736-75-61;davymukahavrylo@example.com
Верменич;Олекса;Георгійович;Чоловік;1985-02-10;Реставратор;хутір Рудки;сквер Ланжеронівська, буд. 30 кв. 0, Подільськ, 28423;+380 34 970 48 20;tturkalo@example.net
Ґерус;Юстим;Володимирович;Чоловік;1947-05-05;Скульптор;місто Добромиль;узвіз Краснослобідська, буд. 5 кв. 893, Новоселиця, 15516;+380 92 158-84-46;ivanenkomaksym@example.com
Носаченко;Леонтій;Аркадійович;Чоловік;1944-05-12;Юрист;селище Бориспіль;площа 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 36 кв. 22, Львів, 80715;536 54 10;khrystynaolifirenko@example.org
Безбородько;Пармен;Аркадійович;Чоловік;1969-11-06;Секретар;селище Іршава;шосе Палубна, буд. 218 кв. 5, Коломия, 19393;+380 46 316-76-90;wtytarenko@example.com
Петрик;Тимофій;Васильович;Чоловік;1999-11-30;Кухар;місто Харцизьк;проспект Новоукраїнський, буд. 6 кв. 552, Городенка, 54688;090 325 18 29;shmorhunrostyslav@example.org
Гаврюшенко;Владислав;Федорович;Чоловік;1945-01-01;Головний меркшейдер;хутір Алушта;шосе Будівельна, буд. 0 кв. 355, Нова Каховка, 60815;897 61 56;liubovkarmaliuk@example.org
Ребрик;Герман;Борисович;Чоловік;2006-06-27;Швачка;селище Золочів;узвіз Тополиний, буд. 284, Кам'янка-Бузька, 61832;+380 (22) 573-49-15;ezhalilo@example.net
Зубко;Мирон;Георгійович;Чоловік;1999-07-10;Менеджер;хутір Перещепине;шосе Чернишевського, буд. 18, Бунге , 05139;+380 (73) 693-59-94;samoilenkovitalii@example.com
Захарченко;Назар;Георгійович;Чоловік;1962-07-05;Ґрунтознавець;хутір Чоп;сквер Тиха, буд. 75, Калинівка , 82896;547 22 68;zshylo@example.com
Андрощук;Єва;Ярославівна;Жінка;1994-08-12;М'ясник;селище Борщів;сквер Задніпровського, буд. 08 кв. 09, Полтава, 54869;845 67 12;anzhela12@example.org
Короленко;Михайлина;Анатоліївна;Жінка;1970-01-10;Юрист;хутір Чоп;сквер Партизанська, буд. 2, Славутич, 79853;+380 (40) 707-59-21;iaryna11@example.net
Верхола;Назар;Аркадійович;Чоловік;1956-11-27;Фотограф;хутір Бурштин ;шосе Костанді 3-й, буд. 554 кв. 85, Енергодар, 56499;+380 94 612-37-34;solomiiavakhnii@example.com
Верхола;Мартин;Петрович;Чоловік;1998-04-04;Редактор;селище Переяслав;шосе Лузанівська, буд. 21 кв. 6, Барвінкове, 80181;194 60 58;khrystychfeofan@example.org
Зубко;Ірена;Володимирівна;Жінка;1964-10-08;Диригент;село Броди;провулок Мала Арнаутська, буд. 8 кв. 7, Корець, 72177;+380 04 426-93-31;irena02@example.net
Авраменко;Семен;Ярославович;Чоловік;1976-01-17;Програміст;хутір Новогродівка;узвіз Нова, буд. 1, Знам'янка, 51054;010 967-91-68;liudmylaostapchuk@example.com
Ісаєнко;Пріска;Євгенівна;Жінка;1965-11-09;Економіст;місто Приморськ (Україна);проспект Агрономічний, буд. 7 кв. 51, Кам'янка (Черкаська область), 83094;+380 (37) 291-52-97;irena48@example.org
Гузь;Охрім;Дмитрович;Чоловік;1977-11-08;Гінеколог;хутір Радомишль;узвіз Леваневського, буд. 8, Маріуполь, 07954;+380 78 395-33-28;kostiantyn11@example.net
Цісик;Наталія;Іванівна;Жінка;1984-09-26;Конструктор;селище Бережани;набережна Вапняне селище, буд. 3, Зборів, 10704;335-87-25;voblyivioletta@example.org
Дейнека;Георгій;Тимофійович;Чоловік;1974-05-30;Електромонтажник;місто Балта;провулок Олександра Невського 2-й, буд. 512 кв. 5, Вінниця, 86506;+380 64 649-68-39;adalupii@example.net
Щербак;Миколай;Михайлович;Чоловік;1976-11-22;Фермер;хутір Старобільськ;сквер Теліги Олени, буд. 4, Калуш, 96624;557 19 95;leontii20@example.com
Василевич;Оксана;Олександрівна;Жінка;2008-04-12;Єгер;місто Балта;площа Могилівська, буд. 340 кв. 894, Вугледар, 62571;012 487-20-47;anitaromanchuk@example.com
Александренко;Тетяна;Євгенівна;Жінка;2001-08-23;Співак;селище Миронівка;шосе Пляжна, буд. 918 кв. 0, Трускавець, 23577;+380 63 763-70-29;zatulavarvara@example.net
Ажажа;Спас;Володимирович;Чоловік;1997-05-30;Бібліограф;село Арциз;провулок Запорізька, буд. 310 кв. 3, Скадовськ, 59824;+380 86 853-62-30;tkachenkoleontii@example.net
Гречко;Борис;Федорович;Чоловік;1939-04-02;Продюсер;місто Овруч;проспект Дубовий гай, буд. 33, Жовті Води, 43544;068 010 20 31;rtkachenko@example.com
Мамчур;Ганна;Юріївна;Жінка;1975-01-04;Диригент;хутір Святогірськ;парк Студентський 3-й, буд. 7 кв. 4, Чернігів, 77856;+380 28 636 55 23;iurchenkoivan@example.com
Колісниченко;Пилип;Анатолійович;Чоловік;1939-11-19;Бухгалтер;селище Олешки;проспект Щукіна, буд. 821, Бобринець, 33378;+380 (09) 720-65-80;ofareniuk@example.com
Скорик;Мілена;Федорівна;Жінка;1997-11-04;Парфюмер;хутір Борщів;проспект Амбулаторна, буд. 017, Скалат, 87827;+380 35 305-52-22;roksolana56@example.org
Іваненко;Данило;Михайлович;Чоловік;1975-03-18;Перекладач;село Суми;шосе Кустанайська, буд. 0 кв. 31, Новоград-Волинський, 03817;+380 08 688-35-61;amaliia83@example.net
Бандура;Владислав;Дмитрович;Чоловік;1993-08-02;Дантист;село Чортків;проспект Чорноморський 6-й, буд. 7, Борзна, 44073;+380 50 614-59-95;iefrem82@example.net
Притула;Амвросій;Володимирович;Чоловік;1977-04-24;Графік;село Великі Мости;шосе Клинова, буд. 96, Сорокине, 33964;+380 52 589 26 78;viktor95@example.net
Гузь;Онисим;Федорович;Чоловік;1981-08-20;Палеонтолог;місто Харків;шосе Декабристів, буд. 36 кв. 42, Чернівці, 11704;+380 10 448 51 70;mariiailienko@example.org
Червоненко;Ігнат;Сергійович;Чоловік;2000-05-19;Провізор;село Олександрія;сквер Панаса Мирного, буд. 24, Ізмаїл, 57793;052 793 38 83;criabovil@example.org
Гавришкевич;Стефан;Ярославович;Чоловік;2008-05-03;Бухгалтер;хутір Ірміно;провулок Ткачова, буд. 55, Хотин, 25122;676 51 89;ielysaveta69@example.org
Сиротенко;Тереза;Ярославівна;Жінка;1982-10-22;Фольклорист;хутір Старокостянтинів;провулок Марії Демченко, буд. 946 кв. 0, Дрогобич, 80818;065 026 65 61;andriihavrylets@example.net
Артюшенко;Ярослава;Федорівна;Жінка;1985-06-29;Реабілітолог;село Апостолове;парк Маловського, буд. 42 кв. 7, Пустомити, 98570;067 023-75-86;nataliia21@example.net
Швачко;Любов;Володимирівна;Жінка;1975-08-11;Зоолог;місто Копичинці;сквер Львівський, буд. 1, Нетішин, 65119;+380 92 655-35-72;azar67@example.com
Токар;Камілла;Юріївна;Жінка;1980-12-30;Інженер;хутір Ланівці;парк Морська, буд. 869 кв. 7, Сімферополь, 50700;+380 51 608 97 06;bkybkalo@example.net
Саченко;Лариса;Борисівна;Жінка;1968-05-27;Промисловець;хутір Новодружеськ;площа Лунний, буд. 7, Канів, 18072;093 208 14 25;kostiantyndubyna@example.com
Даниленко;Віра;Олександрівна;Жінка;1984-08-01;Електромонтер;хутір Харцизьк;проспект Глиняна, буд. 2 кв. 78, Жашків, 54512;032 670-75-53;nazarenkoleon@example.net
Вакарчук;Леонтій;Васильович;Чоловік;2007-02-03;Стропальник;хутір Гребінка;парк Сирітський 2-й, буд. 84 кв. 1, Вознесенівка, 33796;+380 29 726 24 53;ahaievskyi@example.org
Акименко;Владислав;Іванович;Чоловік;1960-08-01;Сантехнік;хутір Кам'янка-Дніпровська;проспект Садовського, буд. 626 кв. 7, Жидачів, 85122;043 837-66-15;zabarnyiliza@example.org
Бакуменко;Лариса;Євгенівна;Жінка;1998-12-05;Піаніст;хутір Антрацит ;шосе Пісочна, буд. 448 кв. 36, Почаїв, 90791;531-10-58;fshevchenko@example.net
Колодуб;Руслан;Петрович;Чоловік;1975-12-09;Флорист;селище Кременчук;парк Хутірська, буд. 8, Дубровиця, 27179;003 411-59-44;alevtyn34@example.org
Свистун;Юстина;Євгенівна;Жінка;1990-02-12;Фармацевт;місто Кодима;шосе Нежданової, буд. 160 кв. 120, Південне , 04463;+380 15 915 84 41;serhiikolesnychenko@example.org
Жаліло;Теодор;Кузьмич;Чоловік;1985-11-12;Фармацевт;селище Городок;площа Штурвальна, буд. 169, Золочів, 21349;317 72 58;korpaniukbohdan@example.org
Єресько;Лариса;Василівна;Жінка;1983-05-23;Адвокат;місто Устилуг;шосе Нежданової, буд. 432 кв. 7, Олександрівськ, 14624;+380 78 231-74-48;pavlo69@example.org
Олійник;Миколай;Георгійович;Чоловік;1938-08-24;Краєзнавець;селище Кам'янське;вулиця Пересипська 4-та, буд. 6 кв. 627, Мала Виска, 92327;+380 (09) 725-01-38;ielysavetatsiutsiura@example.org
Вахній;Анастасія;Георгіївна;Жінка;1999-11-14;Астрофізик;місто Ізмаїл;набережна Бригадна, буд. 85 кв. 56, Носівка, 63838;+380 54 522 20 84;ehaidenko@example.com
Зарудний;Миколай;Дмитрович;Чоловік;1990-08-28;Мистецтвознавець;село Вишгород;проспект Рівності 2-й, буд. 57 кв. 3, Красногорівка, 93275;+380 24 226 17 35;andriichukboryslav@example.com
Базилевський;Теодор;Георгійович;Чоловік;2008-01-07;Сценарист;місто Шпола;узвіз Ракетна, буд. 45, Заводське, 52358;642 74 90;tereshchuknataliia@example.net
Вітрук;Охрім;Андрійович;Чоловік;1998-04-16;Фармацевт;селище Зимогір'я;шосе Скидановський узвіз, буд. 020, Тернопіль, 41705;089 670 99 00;artem20@example.org
Девдюк;Миколай;Євгенович;Чоловік;1978-02-12;Детектив;селище Петрово-Красносілля;площа Партизанська, буд. 44, Герца, 66940;099 086 10 27;bohuslava26@example.org
Дубина;Варфоломій;Георгійович;Чоловік;1942-02-07;Співак;село Нікополь;вулиця Василя Симоненка, буд. 0, Андрушівка, 50499;027 418-38-31;qderevianko@example.net
Абраменко;Венедикт;Юрійович;Чоловік;1947-09-20;Штукатур;хутір Щолкіне;парк Восьмого Березня Лінія 1-ша, буд. 60 кв. 9, Шаргород, 38703;050 319-18-45;danylenkosviatoslava@example.net
Оніщук;Данна;Федорівна;Жінка;1956-10-13;Кінолог;місто Борщів;узвіз Махачкалинська, буд. 93, Рубіжне, 48455;+380 85 861 88 97;tsarenkoparmen@example.com
Мазепа;Орина;Борисівна;Жінка;1963-01-28;Доцент;село Охтирка;вулиця Шкодова гора, буд. 654 кв. 8, Почаїв, 19889;+380 02 811-01-08;chumakihor@example.org
Шаповал;Роман;Михайлович;Чоловік;1967-01-17;Різноробочий;місто Зборів;парк Середньофонтанський, буд. 01, Обухів, 28018;261-58-32;fedir76@example.net
Швачко;Віктор;Аркадійович;Чоловік;1985-03-12;Сантехнік;село Ізяслав;шосе Івасюка Володимира, буд. 512, Боково-Хрустальне, 72585;+380 (64) 707-85-62;bviter@example.com
Жук;Леопольд;Сергійович;Чоловік;1962-04-22;Золотар;селище Богодухів;парк Кренкеля, буд. 967, Червоноград, 37925;039 879 88 74;ihavryliv@example.com
Масоха;Захар;Іванович;Чоловік;1993-09-06;Єгер;село Попасна;вулиця Заводська 3-тя, буд. 8 кв. 799, Фастів, 60673;+380 93 792 80 51;iaroslavasemenchenko@example.net
